Тема,Социальная сеть,Целевая аудитория,Дополнительная информация,num_message,stage,prompt,model
Развитие эмпатии,Twitter,"Люди, желающие лучше понять других людей",Методы развития эмпатии,25,extract,4,saiga-llama-3-q8_0
Влияние музыки на память,Twitter,"Все, кто хочет использовать музыку для улучшения своей памяти",Публикация в социальной сети поможет поделиться исследованиями и рекомендациями по выбору музыки для запоминания информации,26,extract,4,saiga-llama-3-q8_0
Как создать гармоничные отношения,Телеграмм,"Все, кто хочет построить крепкие и здоровые отношения",Публикация в социальной сети поможет поделиться советами по созданию гармонии в отношениях,27,extract,4,saiga-llama-3-q8_0
Влияние стресса на организм,ВКонтакте,"Все, кто сталкивается со стрессом в повседневной жизни",,28,extract,4,saiga-llama-3-q8_0
Развитие креативности,Twitter,"Все, кто хочет научиться мыслить нестандартно и находить новые решения",Методы и упражнения для развития креативности,29,extract,4,saiga-llama-3-q8_0
Влияние технологий на образование,Телеграмм,"Все, кто интересуется изменениями в образовательной сфере",,30,extract,4,saiga-llama-3-q8_0
Способы справиться с тревогой,Instagram,"Все, кто испытывает беспокойство и тревогу",,31,extract,4,saiga-llama-3-q8_0
Влияние искусства на эмоциональное состояние,ВКонтакте,"Все, кто ценит искусство",,32,extract,4,saiga-llama-3-q8_0
Развитие лидерских качеств,Телеграмм,"Все, кто хочет стать лидером или уже является им",,33,extract,4,saiga-llama-3-q8_0
Влияние питания на когнитивные функции,Instagram,"Все, кто хочет улучшить свою память и концентрацию",Публикация поможет поделиться исследованиями и рекомендациями по питанию для поддержания когнитивных функций,34,extract,4,saiga-llama-3-q8_0
Советы по созданию эффективной команды,Телеграмм,"Все, кто работает в команде",,35,extract,4,saiga-llama-3-q8_0
Влияние окружающей среды на здоровье,ВКонтакте,"Все, кто заботится о своем здоровье",,36,extract,4,saiga-llama-3-q8_0
Развитие навыков общения,Телеграмм,"Все, кто хочет улучшить свои коммуникативные навыки",Методы развития навыков общения,37,extract,4,saiga-llama-3-q8_0
Влияние путешествий на личность,Twitter,"Люди, которые любят путешествовать","Публикация в социальной сети поможет обсудить, как путешествия влияют на нашу личность и мировоззрение",38,extract,4,saiga-llama-3-q8_0
Развитие самодисциплины,Телеграмм,"Все, кто хочет достигать поставленных целей",,39,extract,4,saiga-llama-3-q8_0
Рекомендации по чтению для расширения кругозора и вдохновения,ВКонтакте,"Любители литературы, стремящиеся расширить свой кругозор и найти вдохновение",Использовать хэштеги #книги #литература #читаем #информационное_образование. Поделиться своими любимыми книгами и рекомендациями по чтению,0,extract,5,saiga-llama-3-q8_0
Советы для поддержания интеллектуального развития через чтение,Телеграмм,"Люди всех возрастов, интересующиеся самосовершенствованием и развитии своих умений",Использовать хэштеги #саморазвитие #читаем #интеллектуальный_развитие. Поделиться личными советами по чтению и рекомендациями для разных возрастных групп,1,extract,5,saiga-llama-3-q8_0
Упражнения для утренней зарядки,Instagram,"Люди 18-35 лет, интересующиеся здоровьем и фитнесом",Использовать хэштеги #фитнес #здоровье #утренняязарядка. Поделиться видео или фотографиями с упражнениями для утренней зарядки и рассказать о преимуществах их выполнения,2,extract,5,saiga-llama-3-q8_0
История успеха известного спортсмена: как преодолеть трудности и достичь вершины,ВКонтакте,"Люди всех возрастов, которые сталкиваются с трудностями в своей жизни",Использовать хэштеги #инспирация #успех #мотивация. Поделиться историей успеха и вдохновить других на преодоление своих проблем,3,extract,5,saiga-llama-3-q8_0
Советы по обрезке плодовых деревьев весной для садоводов и огородников,Telegram,"Люди, занимающиеся садоводством и огородничеством, желающие получить советы по уходу за плодовыми деревьями","Использовать формат чата для ответа на вопросы и обсуждения проблем. Поделиться личным опытом и советами по обрезке деревьев, а также предоставить полезные ссылки на ресурсы о садоводстве",4,extract,5,saiga-llama-3-q8_0
Лучшие сорта томатов для выращивания в открытом грунте в условиях Сибири,ВКонтакте,"Жители Сибири, желающие выращивать томаты в открытом грунте",Использовать хэштеги #томаты #сад #грунт. Дать советы по выбору подходящих сортов и уходу за ними,5,extract,5,saiga-llama-3-q8_0
Влияние искусственного интеллекта на будущее мировой политики,Телеграмм,"Люди всех возрастов, интересующиеся политикой и технологиями",Использовать хэштеги #ИИ #политика #технологии. Обсудить влияние ИИ на политическую сферу,6,extract,5,saiga-llama-3-q8_0
Роль молодёжи в политической жизни страны: возможности и перспективы,Instagram,"Молодые люди 15-25 лет, заинтересованные в политике и участию в ней","Использовать хэштеги #политика #молодежь #голосование. Поделиться своими мыслями о роли молодёжи в политической жизни страны, а также поделиться опытом и советами по участию в выборах",7,extract,5,saiga-llama-3-q8_0
Анализ больших данных для оптимизации бизнес-процессов,ВКонтакте,"Профессионалы в области менеджмента и предпринимательства, интересующиеся эффективностью бизнеса",Использовать формат поста с картинкой или видео для иллюстрации примеров использования анализа данных. Добавить ссылку на источники информации о методах анализа больших данных,8,extract,5,saiga-llama-3-q8_0
Перспективы развития аналитики больших данных в ближайшие годы,Instagram,"Специалисты в области аналитики данных и IT, интересующиеся тенденциями развития аналитики данных",Использовать хэштеги #аналитика_больших_данных #IT. Поделиться информацией о ключевых направлениях и технологиях в области аналитики больших данных,9,extract,5,saiga-llama-3-q8_0
Влияние социальных сетей на формирование общественного мнения,Телеграмм,"Люди всех возрастов, интересующиеся влиянием медиа на общество",Использовать хэштеги #социальные_сети #общественное_мнение. Обсудить роль социальных сетей в формировании мнений и их влияние на общественное мнение,10,extract,5,saiga-llama-3-q8_0
Будущее интернет-рекламы: тренды и прогнозы,Телеграм,"Маркетологи и рекламодатели, стремящиеся оставаться актуальными в области интернет-рекламы",Обсудить будущее интернет-рекламы,11,extract,5,saiga-llama-3-q8_0
Развитие критического мышления: ключ к принятию обоснованных решений,Instagram,"Молодежь в возрасте 15-25 лет, ищущая развитое критическое мышление для принятия осознанных решений",Использовать хэштеги #критическоемышление #развитиеумения. Предлагать методы и упражнения для улучшения критицизма в социальных сетях,12,extract,5,saiga-llama-3-q8_0
"Экологические проблемы современного мира: причины, последствия и пути решения",Instagram,"Люди всех возрастов, интересующиеся экологией и заботящиеся о будущем нашей планеты","Использовать хэштеги #экология #охранапланеты. Поделиться информацией о причинах и последствиях экологических проблем, а также предложить способы их решения",13,extract,5,saiga-llama-3-q8_0
Искусство медитации: полезные советы для снижения стресса,Телеграмм,"Люди всех возрастов, ищущие способы справиться со стрессом и улучшить свое психическое здоровье","Использовать формат текста с картинками или видео для более привлекательного представления информации. Поделиться практическими советами по медитации, ее преимуществам и полезных техниках",14,extract,5,saiga-llama-3-q8_0
Как стать более организованным: советы для улучшения продуктивности и эффективности,Телеграм,"Люди всех возрастов, желающие повысить свою продуктивность и эффективность",Использовать хэштеги #организация #продуктивность #эффективность. Поделиться методами организации времени и пространства,15,extract,5,saiga-llama-3-q8_0
Здоровое питание: советы для поддержания здоровья,Twitter,"Люди всех возрастов, интересующиеся вопросами здорового питания и заботой о своем здоровье","Использовать хэштеги #здоровое_питание #рацион #хелси. Поделиться советами по выбору продуктов, составлению рациона и правильному питанию для поддержания здоровья",16,extract,5,saiga-llama-3-q8_0
Развитие творческих способностей,Instagram,"Люди всех возрастов, интересующиеся развитием своих творческих способностей",Использовать хэштеги #творчество #развитие_талантов. Поделиться методами и упражнениями для развития творческих способностей,17,extract,5,saiga-llama-3-q8_0
Психология цвета: как он влияет на восприятие информации,Instagram,"Маркетологи, дизайнеры и все, кто интересуется психологическим воздействием цветов",Использовать хэштеги #психологияцвета #дизайн #маркетинг. Поделиться исследованиями и рекомендациями по использованию цветов для улучшения восприятия информации,18,extract,5,saiga-llama-3-q8_0
Управление финансами: советы для грамотного распоряжения деньгами,Телеграм,"Люди всех возрастов, заинтересованные в управлении своими финансами и развитии финансовой грамотности","Использовать хэштеги #финансы #бюджетирование #инвестиции. Поделиться советами по планированию бюджета, инвестициям и сбережениям",19,extract,5,saiga-llama-3-q8_0
Влияние музыки на настроение и работоспособность,Twitter,"Музыканты, психологи, люди, использующие музыку для улучшения своего состояния",Использовать хэштеги #музыка #настроение #работоспособность. Поделиться исследованиями и рекомендациями по выбору музыки для разных ситуаций,20,extract,5,saiga-llama-3-q8_0
Развитие эмоционального интеллекта: советы и упражнения,ВКонтакте,"Люди всех возрастов, интересующиеся развитии своих эмоций и понимания эмоций других людей",Использовать хэштеги #эмоциональный_интеллект #развитие_чувствительности. Поделиться методами и упражнениями для развития эмоционального интеллекта,21,extract,5,saiga-llama-3-q8_0
Влияние социальных сетей на психическое здоровье,Телеграмм,"Люди всех возрастов, проводящие много времени в интернете",Использовать хэштеги #психическое_здоровье #социальные_сети. Обсудить влияние социальных сетей на психическое состояние и способы их использования для поддержания здоровья,22,extract,5,saiga-llama-3-q8_0
Советы по преодолению выгорания и сохранению мотивации,Telegram,"Люди всех возрастных категорий, испытывающие усталость и потерю интереса к работе или учёбе",Использовать формат чата для обмена советами и поддержкой. Поделиться личными историями о преодолении выгорания,23,extract,5,saiga-llama-3-q8_0
Влияние спорта на здоровье мозга,ВКонтакте,"Люди всех возрастов, интересующиеся вопросами здоровья и спортом",Использовать хэштеги #спорт #здоровье #мозг. Поделиться исследованиями о влиянии занятий спортом на работу мозга,24,extract,5,saiga-llama-3-q8_0
Развитие эмпатии: ключ к лучшему взаимопониманию,Twitter,"Люди всех возрастов, желающие улучшить свои социальные навыки и лучше понять других людей",Использовать хэштеги #эмпатия #развитие_человечности. Поделиться методами развития эмпатии и примерами из своей жизни,25,extract,5,saiga-llama-3-q8_0
Влияние музыки на память: Как использовать музыку для улучшения своей памяти,Twitter,"Люди всех возрастов, интересующиеся вопросами обучения и развитии памяти",Использовать хэштеги #меморизация #музыка для улучшения памяти. Поделиться исследованиями и рекомендациями по выбору музыки для запоминания информации,26,extract,5,saiga-llama-3-q8_0
Советы для создания гармоничных отношений,Телеграмм,"Люди всех возрастов, интересующиеся вопросами психологии и семейной жизни",Использовать формат чата для диалога с пользователями. Поделиться советами по созданию гармонии в отношениях на основе личного опыта или знаний из научных источников,27,extract,5,saiga-llama-3-q8_0
Влияние стресса на организм: как он сказывается на нашем здоровье,ВКонтакте,"Люди всех возрастов, столкнувшиеся со стрессом в повседневной жизни",Использовать хэштеги #стресс #здоровье #психология. Поделиться советами по снижению уровня стресса и поддержке психического здоровья,28,extract,5,saiga-llama-3-q8_0
Развитие креативности: методы и упражнения для мыслительной свободы,Twitter,"Студенты, преподаватели, предприниматели, все кто хочет развить свои творческие способности","Использовать хэштеги #креативность #развитие_умения #инновации. Поделиться методами и упражнениями для развития креативности, а также примерами успешных проектов и историй людей, которые преодолели барьеры и достигли успеха",29,extract,5,saiga-llama-3-q8_0
Влияние технологий на образование,Instagram,"Молодежь в возрасте от 15 до 25 лет, решающая, куда поступать после окончания школы",Использовать хэштеги #образование #университет. Предлагать советы по выбору образовательного учреждения и его уровня,30,extract,5,saiga-llama-3-q8_0
Способы справиться с тревогой,Instagram,"Люди всех возрастов, испытывающие беспокойство и стресс",Использовать хэштеги #тревога #стресс. Поделиться методами снижения тревоги и управления стрессом,31,extract,5,saiga-llama-3-q8_0
Влияние искусства на эмоциональное состояние,ВКонтакте,"Люди всех возрастов, интересующиеся вопросами психологии и искусства",Использовать хэштеги #искусство #психология #эмоции. Поделиться своими мыслями о влиянии искусства на эмоциональное состояние,32,extract,5,saiga-llama-3-q8_0
Развитие лидерских качеств для успешного личностного роста,Telegram,"Люди 18-40 лет, заинтересованные в развитии своих профессиональных и личных навыков","Использовать формат видео или аудио для более эффективного передачи информации. Поделиться практическими советами по развитию лидерских качеств, включая примеры из реальной жизни и успешных историй",33,extract,5,saiga-llama-3-q8_0
Влияние питания на когнитивные функции,Instagram,"Люди всех возрастов, интересующиеся улучшением памяти и концентрации",Использовать хэштеги #когнитивные_функции #питание #здоровье. Поделиться исследованиями и рекомендациями по питанию для поддержания когнитивных функций,34,extract,5,saiga-llama-3-q8_0
Советы по созданию эффективной команды,Телеграм,"Профессионалы и предприниматели, работающие в команде",Использовать формат чата для обмена советами и опытом. Поделиться примерами успешных команд и их стратегий работы,35,extract,5,saiga-llama-3-q8_0
Влияние окружающей среды на здоровье,ВКонтакте,"Люди всех возрастов, заботящиеся о своем здоровье и благополучии",Использовать хэштеги #здоровье #окружающая среда. Поделиться своими мыслями и советами по сохранению здоровья в социальной среде,36,extract,5,saiga-llama-3-q8_0
Развитие навыков общения для улучшения коммуникации,Телеграмм,"Люди всех возрастов, желающие улучшить свои навыки общения",Использовать хэштеги #развитие_навыков_общения #коммуникация. Поделиться методами развития навыков общения и советами по их применению в повседневной жизни,37,extract,5,saiga-llama-3-q8_0
Влияние путешествий на личность: Как они формируют нашу идентичность и мировоззрение,Twitter,"Люди любящие путешествовать, студенты, интересующиеся психологией и философией",Использовать хэштеги #путешествия #личность #мировоззрение. Поделиться своими впечатлениями от путешествий и как они повлияли на вас,38,extract,5,saiga-llama-3-q8_0
Развитие самодисциплины для достижения своих целей,Телеграмм,"Люди всех возрастов, решающие как достичь своих целей и улучшить свою мотивацию","Использовать хэштеги #самодисциплина #цели #мотивация. Поделиться методами развития самодисциплины, которые помогут достичь своих целей и улучшить мотивацию",39,extract,5,saiga-llama-3-q8_0
Какие книги стоит прочитать каждому,ВКонтакте,"Любители литературы, стремящиеся расширить свой кругозор и найти вдохновение",,0,extract,0,suzume-llama-3-8b-Q8_0
Сколько книг нужно читать в год для интеллектуального развития,Телеграм,"Люди, заинтересованные в поддержании и развитии интеллектуальных способностей","Публикация должна включать советы по чтению, личный опыт и рекомендации для разных возрастных групп",1,extract,0,suzume-llama-3-8b-Q8_0
Топ-5 упражнений для утренней зарядки,Instagram,"Люди, стремящиеся начать день с бодрости и энергии",,2,extract,0,suzume-llama-3-8b-Q8_0
История успеха известного спортсмена: как преодолеть трудности и достичь вершины,ВКонтакте,"Люди, сталкивающиеся с трудностями в своей жизни",Рассказ о преодолении препятствий и достижении целей,3,extract,0,suzume-llama-3-8b-Q8_0
Как правильно обрезать плодовые деревья весной: советы и рекомендации,Телеграм,"садоводы и огородники, желающие получить богатый урожай",,4,extract,0,suzume-llama-3-8b-Q8_0
Лучшие сорта томатов для выращивания в открытом грунте в условиях Сибири,ВКонтакте,"Жители Сибири, желающие выращивать томаты в открытом грунте","Информация о сортах томатов, подходящих для выращивания в условиях Сибири",5,extract,0,suzume-llama-3-8b-Q8_0
Влияние искусственного интеллекта на будущее мировой политики,Телеграм,"Люди, интересующиеся политикой и технологиями",,6,extract,0,suzume-llama-3-8b-Q8_0
Роль молодёжи в политической жизни страны: возможности и перспективы,Instagram,"молодые люди, заинтересованные в политике","Публикация должна быть интересной и информативной, включать анализ возможностей и перспектив участия молодёжи в политической жизни страны.",7,extract,0,suzume-llama-3-8b-Q8_0
Как анализ больших данных помогает оптимизировать бизнес- процессы,ВКонтакте,"предприниматели и менеджеры, стремящиеся повысить эффективность бизнеса",,8,extract,0,suzume-llama-3-8b-Q8_0
Перспективы развития аналитики больших данных,Instagram,специалисты в области аналитики данных и IT,Публикация поможет обсудить тенденции развития аналитики данных,9,extract,0,suzume-llama-3-8b-Q8_0
Влияние социальных сетей на формирование общественного мнения,Телеграм,"Люди, интересующиеся влиянием медиа на общество",Публикация в социальной сети поможет обсудить роль социальных сетей в формировании мнений,10,extract,0,suzume-llama-3-8b-Q8_0
Будущее интернет-рекламы: тренды и прогнозы,Телеграм,"маркетологи, рекламодатели",Информация для обсуждения будущего интернет-рекламы,11,extract,0,suzume-llama-3-8b-Q8_0
Как развить критическое мышление,Instagram,"Все, кто хочет научиться анализировать информацию и принимать обоснованные решения",Публикация поможет поделиться методами и упражнениями для развития критического мышления,12,extract,0,suzume-llama-3-8b-Q8_0
Экологические проблемы современного мира,Instagram,"Люди, заботящиеся о будущем нашей планеты",Публикация для обсуждения экологических проблем и способов их решения,13,extract,0,suzume-llama-3-8b-Q8_0
Искусство медитации,Телеграм,"Пользователи, ищущие способы расслабления и справления со стрессом",Поделиться техниками медитации и её преимуществами,14,extract,0,suzume-llama-3-8b-Q8_0
Как стать более организованным,Телеграм,"Люди, желающие улучшить свою продуктивность и эффективность",Методы организации времени и пространства,15,extract,0,suzume-llama-3-8b-Q8_0
Здоровое питание,Twitter,"Люди, заинтересованные в здоровом образе жизни и заботе о своем здоровье",Публикация должна включать советы по выбору продуктов и составлению рациона,16,extract,0,suzume-llama-3-8b-Q8_0
Как развивать творческие способности,Instagram,"Все, кто хочет раскрыть свой творческий потенциал",Публикация поможет поделиться методами и упражнениями для развития творческих способностей,17,extract,0,suzume-llama-3-8b-Q8_0
Психология цвета,Телеграм,"Дизайнеры, маркетологи и все заинтересованные в влиянии цвета на восприятие информации",Публикация должна содержать исследования и рекомендации по использованию цветов,18,extract,0,suzume-llama-3-8b-Q8_0
Как управлять своими финансами,Телеграм,"Люди, желающие научиться грамотно распоряжаться своими деньгами","Публикация поможет поделиться советами по управлению бюджетом, инвестициям и сбережениям",19,extract,0,suzume-llama-3-8b-Q8_0
Влияние музыки на настроение и работоспособность,Twitter,"Музыканты, психологи, пользователи социальных сетей",Публикация исследований и рекомендаций по выбору музыки для разных ситуаций,20,extract,0,suzume-llama-3-8b-Q8_0
Как развивать эмоциональный интеллект,ВКонтакте,"Люди, заинтересованные в развитии своих и чужих эмоций",Методы и упражнения для развития эмоционального интеллекта,21,extract,0,suzume-llama-3-8b-Q8_0
Влияние социальных сетей на психическое здоровье,Телеграм,"Люди, проводящие много времени в интернете",Обсуждение влияния социальных сетей на психическое состояние,22,extract,0,suzume-llama-3-8b-Q8_0
Как справиться с выгоранием,Телеграм,"Все, кто чувствует усталость и потерю интереса к работе или учёбе",Публикация поможет поделиться методами борьбы с эмоциональным выгоранием,23,extract,0,suzume-llama-3-8b-Q8_0
Влияние спорта на здоровье мозга,ВКонтакте,"Люди, заботящиеся о своём здоровье",Обсуждение влияния занятий спортом на работу мозга,24,extract,0,suzume-llama-3-8b-Q8_0
Как развить эмпатию,Twitter,"Люди, желающие лучше понимать других людей",Методы развития эмпатии,25,extract,0,suzume-llama-3-8b-Q8_0
Влияние музыки на память,Twitter,"Люди, интересующиеся улучшением своей памяти через использование музыки",Исследования и рекомендации по выбору музыки для запоминания информации,26,extract,0,suzume-llama-3-8b-Q8_0
Как создать гармоничные отношения,Телеграм,"Люди, желающие построить крепкие и здоровые отношения",Публикация поможет поделиться советами по созданию гармонии в отношениях,27,extract,0,suzume-llama-3-8b-Q8_0
Влияние стресса на организм,ВКонтакте,"Все, кто сталкивается со стрессом в повседневной жизни","Публикация поможет обсудить, как стресс влияет на наше физическое и психическое здоровье",28,extract,0,suzume-llama-3-8b-Q8_0
Как развить креативность,Twitter,"Все, кто хочет научиться мыслить нестандартно и находить новые решения",Публикация поможет поделиться методами и упражнениями для развития креативности,29,extract,0,suzume-llama-3-8b-Q8_0
Влияние технологий на образование,Телеграм,"Люди, интересующиеся изменениями в образовательной сфере",,30,extract,0,suzume-llama-3-8b-Q8_0
Как справиться с тревогой,Instagram,"Все, кто испытывает беспокойство и тревогу",Публикация поможет поделиться методами снижения тревоги и управления стрессом,31,extract,0,suzume-llama-3-8b-Q8_0
Влияние искусства на эмоциональное состояние,ВКонтакте,"Люди, ценящие искусство и интересующиеся его влиянием на эмоции и настроение",,32,extract,0,suzume-llama-3-8b-Q8_0
Как развить лидерские качества,Телеграм,"Люди, желающие стать лидерами или уже занимающие руководящие позиции",,33,extract,0,suzume-llama-3-8b-Q8_0
Влияние питания на когнитивные функции,Instagram,"Люди, заинтересованные в улучшении памяти и концентрации",Публикация должна содержать исследования и рекомендации по питанию для поддержания когнитивных функций,34,extract,0,suzume-llama-3-8b-Q8_0
Как создать эффективную команду,Телеграм,"Все, кто работает в команде",Публикация поможет поделиться советами по формированию и управлению эффективной командой,35,extract,0,suzume-llama-3-8b-Q8_0
Влияние окружающей среды на здоровье,ВКонтакте,"Люди, заботящиеся о своем здоровье",Публикация поможет обсудить влияние окружающей среды на физическое и психическое здоровье,36,extract,0,suzume-llama-3-8b-Q8_0
Как развить навыки общения,Телеграм,"Люди, желающие улучшить свои коммуникативные навыки",,37,extract,0,suzume-llama-3-8b-Q8_0
Влияние путешествий на личность,Twitter,"Люди, любящие путешествовать",Публикация поможет обсудить влияние путешествий на личность и мировоззрение,38,extract,0,suzume-llama-3-8b-Q8_0
Как развить самодисциплину,Телеграм,"Все, кто хочет достигать поставленных целей",,39,extract,0,suzume-llama-3-8b-Q8_0
Какие книги стоит прочитать каждому,ВКонтакте,"Любители литературы, стремящиеся расширить свой кругозор и найти вдохновение",,0,extract,1,suzume-llama-3-8b-Q8_0
Сколько книг нужно читать в год для интеллектуального развития,Телеграм,"Люди, заинтересованные в самосовершенствовании и поддержании интеллектуального уровня",Публикация включает личный опыт и советы по чтению,1,extract,1,suzume-llama-3-8b-Q8_0
Топ-5 упражнений для утренней зарядки,Instagram,"Люди, стремящиеся начать день с бодрости и энергии",,2,extract,1,suzume-llama-3-8b-Q8_0
История успеха известного спортсмена: как преодолеть трудности и достичь вершины,ВКонтакте,"Люди, сталкивающиеся с трудностями в своей жизни",Рассказ о преодолении препятствий и достижении целей,3,extract,1,suzume-llama-3-8b-Q8_0
Как правильно обрезать плодовые деревья весной: советы и рекомендации,Телеграм,"садоводы и огородники, желающие получить богатый урожай",,4,extract,1,suzume-llama-3-8b-Q8_0
Лучшие сорта томатов для выращивания в открытом грунте в условиях Сибири,ВКонтакте,"Жители Сибири, желающие выращивать томаты в открытом грунте",,5,extract,1,suzume-llama-3-8b-Q8_0
Влияние искусственного интеллекта на будущее мировой политики,Телеграм,"Люди, интересующиеся политикой и технологиями",,6,extract,1,suzume-llama-3-8b-Q8_0
Роль молодёжи в политической жизни страны: возможности и перспективы,Instagram,"молодые люди, заинтересованные в политике",Публикация поможет обсудить роль молодежи в политике и поделиться возможностями для их участия,7,extract,1,suzume-llama-3-8b-Q8_0
Как анализ больших данных помогает оптимизировать бизнес- процессы,ВКонтакте,"предприниматели и менеджеры, стремящиеся повысить эффективность бизнеса",,8,extract,1,suzume-llama-3-8b-Q8_0
Перспективы развития аналитики больших данных,Instagram,специалисты в области аналитики данных и IT,информация о тенденциях развития аналитики данных,9,extract,1,suzume-llama-3-8b-Q8_0
Влияние социальных сетей на формирование общественного мнения,Телеграм,"Люди, интересующиеся влиянием медиа на общество",,10,extract,1,suzume-llama-3-8b-Q8_0
Будущее интернет-рекламы: тренды и прогнозы,Телеграм,Маркетологи и рекламодатели,Информация для обсуждения будущего интернет-рекламы,11,extract,1,suzume-llama-3-8b-Q8_0
Как развить критическое мышление,Instagram,"Люди, желающие научиться анализировать информацию и принимать обоснованные решения",Методы и упражнения для развития критического мышления,12,extract,1,suzume-llama-3-8b-Q8_0
Экологические проблемы современного мира,Instagram,"Люди, заботящиеся о будущем нашей планеты",Публикация для обсуждения экологических проблем и способов их решения,13,extract,1,suzume-llama-3-8b-Q8_0
Искусство медитации,Телеграм,"Люди, ищущие способы расслабления и справления со стрессом",Публикация поможет поделиться техниками медитации и её преимуществами,14,extract,1,suzume-llama-3-8b-Q8_0
Как стать более организованным,Телеграм,"Люди, желающие улучшить свою продуктивность и эффективность",Методы организации времени и пространства,15,extract,1,suzume-llama-3-8b-Q8_0
Здоровое питание,Twitter,"Люди, заинтересованные в здоровом образе жизни и заботе о своем здоровье",Публикация должна включать советы по выбору продуктов и составлению рациона для поддержания здоровья,16,extract,1,suzume-llama-3-8b-Q8_0
